#,Name,Height,Weight,Arm,Hand,Vertical,Broad,Position_Group,Converted_Height,Converted_Arm,Converted_Hand,Converted_Vertical,Converted_Broad
DB,"Worley, Daryl",6006,204,33 3/8,10 1/4,"35.5""","10'3""",DB,72.75,,,35.5,123
DB,"Young, Tavon",5091,183,30 5/8,9 1/8,"34.5""","9'10""",DB,69.125,,,34.5,118
PK,"Aguayo, Roberto",6000,207,31 3/4,9 7/8,NA,NA,SPEC,72,,,NA,NA
PK,"Craddock, Brad",6000,186,31,8 1/4,NA,NA,SPEC,72,,,NA,NA
PK,"Dixon, Riley",6040,221,32 1/4,9 5/8,NA,NA,SPEC,76,,,NA,NA
PK,"Edwards, Lac",6040,209,32 3/8,9 3/8,NA,NA,SPEC,76,,,NA,NA
PK,"Fairbairn, Ka'imi",5110,183,31 1/4,9 1/4,NA,NA,SPEC,71,,,NA,NA
PK,"Hackett, Tom",5100,198,29 3/4,9 1/4,NA,NA,SPEC,70,,,NA,NA
PK,"Kaser, Drew",6020,212,31,9,NA,NA,SPEC,74,,,NA,NA
PK,"Koehn, Marshall",6013,197,32 1/4,9 1/2,NA,NA,SPEC,73.375,,,NA,NA
PK,"Lunsford, John",6014,214,32 7/8,10 1/8,NA,NA,SPEC,73.5,,,NA,NA
PK,"Monday, Will",6040,212,32 1/2,8 7/8,NA,NA,SPEC,76,,,NA,NA
PK,"Oberkrom, Jaden",6020,186,31 3/4,8 1/2,NA,NA,SPEC,74,,,NA,NA
PK,"O'Toole, Nick",6030,219,32 1/2,9 3/4,NA,NA,SPEC,75,,,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
ST,"Landes, Jimmy",6012,240,30 3/8,9 5/8,"27.5""","9'2""",SPEC,73.25,,,27.5,110
QB,"Beathard, CJ",6020,219,30 5/8,9 3/8,"31""","9'5""",QB,74,,,31,113
QB,"Dobbs, Joshua",6033,216,32 5/8,9 1/4,"33""","10'2""",QB,75.375,,,33,122
QB,"Evans, Jerod",6026,232,33 1/8,9 3/8,"26.5""","9'4""",QB,74.75,,,26.5,112
QB,"Kaaya, Brad",6040,214,32,9 3/4,NA,NA,QB,76,,,NA,NA
QB,"Kizer, Deshone",6042,233,33 1/8,9 7/8,"30.5""","8'11""",QB,76.25,,,30.5,107
QB,"Knight, Trevor",6013,219,30 5/8,9 7/8,"35.5""","10'5""",QB,73.375,,,35.5,125
QB,"Leidner, Mitch",6034,226,33 3/4,10,"34.5""","10'3""",QB,75.5,,,34.5,123
QB,"Liufau, Sefo",6033,232,33 1/2,10 3/4,"27""","8'9""",QB,75.375,,,27,105
QB,"Mahomes II, Patrick",6020,225,33 1/4,9 1/4,"30""","9'6""",QB,74,,,30,114
QB,"Peterman, Nathan",6024,226,32 3/8,9 7/8,"31""","9'2""",QB,74.5,,,31,110
